"Go,  love  ly  rose!",-+-+,++-+
Tell her  that wastes  her time  and  me,-+-+-+-+,++-+-+-+
"That now  she  knows,",-+-+,-+-+
"When I  re sem  ble her  to  thee,",-+-+-+-+,-+-+-+-+
How sweet  and fair  she seems  to  be.,-+-+-+-+,-+-+-+-+
Tell her  that's  young,-+-+,++-+
"And shuns  to have  her grac  es  spied,",-+-+-+-+,-+-+-+-+
That had'st  thou  sprung,-+-+,-+-+
"In des  erts,  where  no men  a  bide,",-+-+-+-+,-+--++-+
Thou must  have un  com mend  ed  died.,-+-+-+-+,-+-+-+-+
Small is  the  worth,-+-+,+--+
Of beau  ty from  the light  re ti  red;,-+-+-+-+,-+-+-+-+-
"Bid her  come  forth,",-+-+,+--+|+-++
"Suf fer  her self  to be  de si  red,",-+-+-+-+,+--+-+-+-
And not  blush so  to be  ad mi  red.,-+-+-+-+,-+++-+-+-|--++-+-+-
Then die!  that  she,-+-+,++-+
The com  mon fate  of all  things  rare,-+-+-+-+,-+-+-+++
May read  in  thee;,-+-+,-+-+
How small  a part  of time  they  share,-+-+-+-+,-+-+-+-+
That are  so won  drous sweet  and  fair!,-+-+-+-+,--++-+-+
The old  dog barks back wards without  getting  up.,--+--+--+--+,-++++--+--+
I              can remem ber             when he  was a  pup.,-+-+-+-+-+,+--+--+--+
"Gal lop  a pace,  you fi  er y- foot  ed steeds,",-+-+-+-+-+,+--+-+--+-+
To wards Phoeb  us' lodg  ing!  Such  a wag  on er,-+-+-+-+-+,--+-+-+-+-+
As Pha  e ton  would whip  you to  the west,-+-+-+-+-+,-+-+-+-+-+
And bring  in cloud  y night  im med  i ate ly.,-+-+-+-+-+,-+-+-+-+--+
"Spread thy  close cur  tain,  love-  per form  ing night,",-+-+-+-+-+,+-++-+-+-+
"That run  a ways' eyes  may wink,  and Ro  me o",-+-+-+-+-+,-+--+-+-+-+
Leap to  these arms  un talked  of and  un seen.,-+-+-+-+-+,+--+-+-+-+
Lov ers  can see  to do  their a  mor ous rites,-+-+-+-+-+,+--+-+-+--+
"By their  own beau  ties;  or,  if love  be blind,",-+-+-+-+-+,--++-+-+-+
"It best  a grees  with night.  Come, civ  il night,",-+-+-+-+-+,-+-+-+++-+
"Thou so  ber- suit  ed ma  tron all  in black,",-+-+-+-+-+,-+-+-+-+-+
"And learn  me how  to lose  a win  ning match,",-+-+-+-+-+,-+-+-+-+-+
Played for  a pair  of stain  less mai  den hoods.,-+-+-+-+-+,+--+-+-+-+
"Hood my  un manned  blood,  bat  ing in  my cheeks,",-+-+-+-+-+,+--+++---+
"With thy  black man  tle till  strange love  grow bold,",-+-+-+-+-+,--++--++++
Think true  love act  ed sim  ple mod  es ty.,-+-+-+-+-+,++++-+-+-+
"Come, night;  come, Ro  me o;  come,  thou day  in night;",-+-+-+-+-+,++++--+-+-+
For thou  wilt lie  up on  the wings  of night,-+-+-+-+-+,-+-+-+-+-+
Whit er  than new  snow up  on a Ra  ven's back.,-+-+-+-+-+,+--++---+-+
"Come, gen  tle night;  come, lov  ing, black-  browed night;",-+-+-+-+-+,++-+++-+++
"Give me  my Ro  me o;  and,  when he  shall die,",-+-+-+-+-+,+--+--+-+-+
"Take him  and cut  him out  in lit  tle stars,",-+-+-+-+-+,+--+-+-+-+
And he  will make  the face  of heav  en so fine,-+-+-+-+-+,-+-+-+-+--+
That all  the world  will be  in love  with night,-+-+-+-+-+,-+-+-+-+-+
And pay  no wor  ship to  the gar  ish sun.,-+-+-+-+-+,-+++---+-+
"Gal lop  a pace,  you fier  y- foot  ed steeds,",-+-+-+-+-+,+--+-+-+-+
Towards Phoeb  us' lodg  ing!  Such  a wag  on er,-+-+-+-+-+,--+-+-+-+-+
As Pha  e ton  would whip  you to  the west,-+-+-+-+-+,-+-+-+-+-+
And bring  in cloud  y night  im med  i ate ly.,-+-+-+-+-+,-+-+-+-+--+
"Spread thy  close cur  tain,  love-  per form  ing night,",-+-+-+-+-+,+-++-+-+-+
"That run  a ways' eyes  may wink,  and Ro  me o",-+-+-+-+-+,-+--+-+-+-+
Leap to  these arms  un talked  of and  un seen.,-+-+-+-+-+,+--+-+-+-+
Lov ers  can see  to do  their a  mor ous rites,-+-+-+-+-+,+--+-+-+--+
"By their  own beau  ties;  or,  if love  be blind,",-+-+-+-+-+,--++-+-+-+
"It best  a grees  with night.   Come, civ  il night,",-+-+-+-+-+,-+-+-+++-+
"Thou so  ber- suit  ed ma  tron all  in black,",-+-+-+-+-+,-+-+-+-+-+
"And learn  me how  to lose  a win  ning match,",-+-+-+-+-+,-+-+-+-+-+
Played for  a pair  of stain  less mai  den hoods.,-+-+-+-+-+,+--+-+-+-+
"Hood my  un manned  blood,   bat  ing in  my cheeks,",-+-+-+-+-+,+--+++---+
"With thy  black man  tle till  strange love  grow bold,",-+-+-+-+-+,--++--++++
Think true  love act  ed sim  ple mod  es ty.,-+-+-+-+-+,++++-+-+-+
"Come, night;  come, Ro  me o;  come,  thou day  in night;",-+-+-+-+-+,++++--+-+-+
For thou  wilt lie  up on  the wings  of night,-+-+-+-+-+,-+-+-+-+-+
Whit er  than new  snow up  on a Ra  ven's back.,-+-+-+-+-+,+--++---+-+
"Come, gen  tle night;  come, lov  ing, black-  browed night;",-+-+-+-+-+,++-+++-+++
"Give me  my Ro  me o;  and,  when he  shall die,",-+-+-+-+-+,+--+--+-+-+
"Take him  and cut  him out  in lit  tle stars,",-+-+-+-+-+,+--+-+-+-+
And he  will make  the face  of heav  en so fine,-+-+-+-+-+,-+-+-+-+--+
That all  the world  will be  in love  with night,-+-+-+-+-+,-+-+-+-+-+
And pay  no wor  ship to  the gar  ish sun.,-+-+-+-+-+,-+++---+-+
"Bat ter  my heart,  three- per  soned God;  for  you",-+-+-+-+-+,+--+++-+-+
"As yet  but knock,  breathe, shine,  and seek  to  mend;",-+-+-+-+-+,-+-+++-+-+
"That I  may rise  and stand,  o'er throw  me and  bend",-+-+-+-+-+,-+-+-+++--+|-+-+-+-+--+
"Your force  to break,  blow, burn,  and make  me  new.",-+-+-+-+-+,-+-+++-+-+
"I, like  an u  surped town,  to an oth  er  due,",-+-+-+-+-+,+---++--+-+
"La bor  to ad mit  you, but  O, to  no  end;",-+-+-+-+-+,+---+--+-++
"Rea son,  your vice  roy in me,  me should  de  fend,",-+-+-+-+-+,+--+--++--+
"But is  cap tived,  and proves  weak or  un  true.",-+-+-+-+-+,-++--++--+|+-+--++--+
"Yet dear  ly I love  you, and would  be lov  èd  fain,",-+-+-+-+-+,-+--+--+-+-+
But am  be trothed  un to  your en  e  my.,-+-+-+-+-+,-+-++--+-+
"Di vorce  me,  un tie  or break  that knot  a  gain;",-+-+-+-+-+,-+--+-+++-+|-+--+-+-+-+
"Take me  to you,  im pris  on me,  for  I,",-+-+-+-+-+,+-+--+-+-+|+--+-+-+-+
"Ex cept  you en thrall  me,  nev  er shall  be  free,",-+-+-+-+-+,-+--+-+-+-+
"Nor ev  er chaste,  ex cept  you rav  ish  me.",-+-+-+-+-+,-+-+-+-+-+
West  ron wynde  when wyll  thow  blow,-+-+-+-+,+-++--+
The smalle  rayne downe  can  rayne,-+-+-+,-+++-+
Chryst yf  my love  wer in  my  armes,-+-+-+-+,+--+-+-+
And I  yn my bed  a  gayne,-+-+-+,-+--+-+
"O what  can ail  thee, knight- at-  arms,",-+-+-+-+,-+-+-+-+
A lone  and pale  ly loit  er  ing?,-+-+-+-+,-+-+-+-+
"The sedge  has with  ered from  the  lake,",-+-+-+-+,-+-+-+-+
And no  birds  sing.,-+-+,-+++
"O what  can ail  thee, knight- at-  arms,",-+-+-+-+,-+-+-+-+
So hag  gard and  so woe- be  gone?,-+-+-+-+,-+--++-+
"The squir  rel's gran  a ry  is  full,",-+-+-+-+,-+-+-+-+
And the har  vest's  done.,-+-+,--+-+
"I see  a lil  y on  thy  brow,",-+-+-+-+,-+-+-+-+
"With an  guish moist  and fe  ver-  dew,",-+-+-+-+,-+-+-+-+
And on  thy cheeks  a fad  ing  rose,-+-+-+-+,-+-+-+-+
Fast with  er eth  too.,-+-+,++--+
"I met  a la  dy in  the  meads,",-+-+-+-+,-+-+-+-+
"Full beau  ti ful--   a fae  ry's  child,",-+-+-+-+,++-+-+-+
"Her hair  was long,  her foot  was  light,",-+-+-+-+,-+-+-+-+
And her eyes  were  wild.,-+-+,--+-+
"I made  a gar  land for  her  head,",-+-+-+-+,-+-+-+-+
"And brace  lets too,  and frag  rant  zone;",-+-+-+-+,-+-+-+-+
"She looked  at me  as she  did  love,",-+-+-+-+,-+-+-+-+
And made  sweet  moan.,-+-+,-+++
"I set  her on  my pac  ing  steed,",-+-+-+-+,-+-+-+-+
And no  thing else  saw all  day  long,-+-+-+-+,-+-+-+++
"For side  long would  she bend,  and  sing",-+-+-+-+,-+-+-+-+
A fae  ry's  song.,-+-+,-+-+
"She found  me roots  of rel  ish  sweet,",-+-+-+-+,-+-+-+-+
And hon  ey wild  and man  na-  dew;,-+-+-+-+,-+-+-+-+
"And sure  in lang  uage strange  she  said,",-+-+-+-+,-+-+-+-+
"""I love  thee  true.""",-+-+,-+-+
"She took  me to  her elf  in  grot,",-+-+-+-+,-+-+-+-+
And there  she wept  and sighed  full  sore;,-+-+-+-+,-+-+-+++
"And there  I shut  her wild,  wild  eyes",-+-+-+-+,-+-+-+++
With kiss  es  four.,-+-+,-+-+
"And there  she lull  èd me  as  leep,",-+-+-+-+,-+-+-+-+
And there  I dreamed--   Ah! woe  be  tide!--,-+-+-+-+,-+-+++-+
The lat  est dream  I e  ver  dreamed,-+-+-+-+,-+-+-+-+
On the cold  hill's  side.,-+-+,--+++
"I saw  pale kings  and prin  ces  too,",-+-+-+-+,-+++-+-+
"Pale war  ri ors, death- pale were  they  all;",-+-+-+-+,++--+---+
"They cried,  ""La Belle  Dame sans  Mer  ci",-+-+-+-+,-+-+-+-+
"Hath thee  in  thrall!""",-+-+,-+-+
I saw  their starved  lips in  the  gloam,-+-+-+-+,-+-++--+
"With hor  rid warn  ing gap  èd  wide,",-+-+-+-+,-+-+-+-+
And I  a woke  and found  me  here,-+-+-+-+,-+-+-+-+
On the cold  hill's  side.,-+-+,--+++
And this  is why  I so  journ  here,-+-+-+-+,-+-+-+-+
"A lone  and pale  ly loi  ter  ing,",-+-+-+-+,-+-+-+-+
"Though the sedge  is with  ered from  the  lake,",-+-+-+-+,--+-+-+-+
And no  birds  sing.,-+-+,-+++
"Thus with  i mag  ined wing  our swift  scene flies,",-+-+-+-+-+,+--+-+-+++
In mo  tion of  no less  ce ler  i ty,-+-+-+-+-+,-+--++-+-+
Than that  of thought.  Sup pose  that you  have seen,-+-+-+-+-+,-+-+-+-+-+
The well-  ap point  ed king  at Hamp  ton pier,-+-+-+-+-+,-+-+-+-+-+
Em bark  his roy  al ty;  and his  brave fleet,-+-+-+-+-+,-+-+-+--++
With silk  en stream  ers the  young Phoeb  us fan ning.,-+-+-+-+-+,-+-+--++-+-
"Play with  your fan  cies,  and  in them  be hold",-+-+-+-+-+,+--+-+-+-+
Up on  the hem  pen tack  le ship  boys climb ing:,-+-+-+-+-+,-+-+-+-+-+-
Hear the  shrill whist  le which  doth or  der give,-+-+-+-+-+,+-++-+-+-+
"To sounds  con fused;  be hold  the thread  en sails,",-+-+-+-+-+,-+-+-+-+-+
"Borne with  the in vis  i ble  and creep  ing wind,",-+-+-+-+-+,+---+-+-+-+
"Draw the  huge bot  toms through  the fur  rowed sea,",-+-+-+-+-+,+-++-+-+-+|+-++---+-+
"Breast ing  the loft  y surge.  O, do  but think",-+-+-+-+-+,+--+-++--+
You stand  up on  the riv  age and  be hold,-+-+-+-+-+,-+-+-+-+-+
A cit  y on  the in con  stant bil  lows danc ing;,-+-+-+-+-+,-+-+--+-+-+-
"For so  ap pears  this fleet  maj est  i cal,",-+-+-+-+-+,-+-+-+-+-+
"Hold ing  due course  to Har  fleur.  Fol  low, fol low!",-+-+-+-+-+,+-++-+++-+-
He end  ed:  Ar  thur knew  the voice;  the face,-+-+-+-+-+,-+-+-+-+-+
"Well  nigh  was hel  met- hid  den,  and  the name",-+-+-+-+-+,++-+-+---+
Went wan  der ing some  where dark  ling in  his mind.,-+-+-+-+-+,-+--+-+-+-+
"And Ar  thur deigned  not use  of word  or sword,",-+-+-+-+-+,-+-+-+-+-+
"But let  the drunk  ard,  as  he stretched  from horse",-+-+-+-+-+,-+-+-+-+-+
"To strike  him,  o  ver bal  anc ing  his bulk,",-+-+-+-+-+,-+-+-+-+-+
Down from  the cause  way heav  i ly to  the swamp,-+-+-+-+-+,+--+-+--+-+
"Fall,  as  the crest  of some  slow- arch  ing wave,",-+-+-+-+-+,+--+--++-+
"Heard in  dead night  a long  that ta  ble- shore,",-+-+-+-+-+,+-++-+-+-+
"Drops flat,  and af  ter the  great wa  ters break",-+-+-+-+-+,++-+--++-+
"Whit en  ing for half  a league,  and thin  them selves,",-+-+-+-+-+,+---+-+-+-+
"Far o  ver sands  mar bled  with moon  and cloud,",-+-+-+-+-+,+--++--+-+
From less  and less  to noth  ing;  thus  he fell,-+-+-+-+-+,-+-+-+-+-+
"Head- heav  y;  then  the knights,  who watched  him, roared",-+-+-+-+-+,++-+-+-+-+
