|and| |as| |in| |uf fish| |thought| |he| |stood|,-+-+-+-+
|tell| |her| |that| |wastes| |her| |time| |and| |me|,++-+-+-+
|oh| |just| |be yond| |the| |sweet est| |thoughts| |that| |throng|,++-+-+-+-+
|and| |there up on| |i ma gin a tion| |and| |heart| |were| |driv en|,-+-+-+-+--+-+-
|leap| |to| |these| |arms| |un talked| |of| |and| |un seen.|,+--+-+-+-+
|ei ther| |what| |death| |or| |love| |is| |well|,+--+-+-+
|i| |dare| |not| |move| |my| |dim| |eyes| |a ny| |way|,-+++-+++-+
|not| |so| |much| |life| |as| |on| |a| |sum mer's| |day|,-+-+-+-+-+
|as| |dreams| |are| |made| |on| |and| |our| |lit tle| |life|,-+-+-+-+-+
|come| |night| |come| |ro me o| |come| |thou| |day| |in| |night|,++++--+-+-+
|to| |put| |a| |tree| |be tween| |us| |when| |he| |ligh ted|,-+-+-+-+-+-
|sleepe| |af ter| |toyle| |port| |af ter| |storm y| |seas|,+--++--+-+
|had| |in| |high| |plac es| |built| |her| |lodge| |though| |mean|,--++-+-+-+
|shrouds| |thee| |where so e'er| |thou| |shin est.|,+-+-+-+-
|though| |the| |sedge| |is| |with ered| |from| |the| |lake|,--+-+-+-+
|seek ing| |af ter| |that| |sweet| |gold en| |clime|,--+--+--+
|a rise| |from| |their| |graves| |and| |a spi re|,-+--+--+-
|in| |these| |years!| |yet| |i| |feel|,-+-+-+
|still| |still| |to| |hear| |her| |ten der| |tak en| |breath|,++-+-+-+-+
|prompt| |hand| |and| |head piece| |clev er|,++-+-+-
|where| |i| |may| |sit| |and| |see|,-+-+-+
|draw| |the| |huge| |bot toms| |through| |the| |fur rowed| |sea|,+-++-+-+-+
|van ished| |and| |left| |but| |me mo ries| |that| |should| |be| |out| |of| |sea son|,+--+-+---+-+-+-
|in| |fi e ry| |ring lets| |from| |their| |sleep|,-+--+-+-+
|there| |was| |nev er| |a| |sound| |be side| |the| |wood| |but| |one|,--+--+-+-+-+
|and| |look| |up on| |my self| |and| |curse| |my| |fate|,-+-+-+-+-+
|but| |ill| |sus tained| |and| |al most| |so| |it| |seemed|,-+-+-++--+
|he| |went| |be hind| |it| |to| |make| |his| |last| |stand.|,-+-+--+-++
|and| |on| |thy| |cheeks| |a| |fad ing| |rose|,-+-+-+-+
|that| |now| |she| |knows|,-+-+
|five| |miles| |me an der ing| |with| |a| |maz y| |mo tion|,++-+--+-+-+-
|to| |fields| |where| |flies| |no| |sharp| |and| |sid ed| |hail|,-+-+-+-+-+
|and| |there| |she| |wept| |and| |sighed| |full| |sore|,-+-+-+++
|by| |a| |flash| |of| |light ning| |or| |a| |wave|,--+-+-+-+
