biennials,bi-en-ni-als
jinrikishas,jin-rik-i-shas
mustachio,mus-ta-chi-o
deferment,de-fer-ment
pantheistic,pan-the-is-tic
ticktocks,tick--tocks
trawling,trawl-ing
comically,com-i-cal-ly
prizemen,prize-men
cuckolding,cuck-old-ing
orthographies,or-thog-ra-phies
refunding,re-fund-ing
mutinies,mu-ti-nies
purulently,pu-ru-lent-ly
alphabetic,al-pha-bet-ic
paternalists,pa-ter-nal-ists
rumbustious,rum-bus-ti-ous
bocks,bocks
naturopathic,na-tur-o-path-ic
befouls,be-fouls
grenadiers,gren-a-diers
lings,lings
stipulate,stip-u-late
eugenics,eu-gen-ics
fattiness,fat-ti-ness
appropriation,ap-pro-pri-a-tion
transvestism,trans-ves-tism
medicament,me-dic-a-ment
seamier,seam-i-er
liaisons,li-ai-sons
ebbtide,ebb-tide
wholemeal,whole-meal
understock,un-der-stock
virtuosos,vir-tu-o-sos
bitchier,bitch-i-er
deferments,de-fer-ments
steadfastness,stead-fast-ness
beautyparlours,beau-ty--par-lours
sforzandi,sfor-zan-di
complainers,com-plain-ers
precocity,pre-coc-i-ty
soots,soots
snuggest,snug-gest
bulgily,bulg-i-ly
jamjar,jam--jar
snuggled,snug-gled
jinrikisha,jin-rik-i-sha
ashpans,ash--pans
semicircular,sem-i-cir-cu-lar
salsify,sal-si-fy
sheetanchor,sheet--an-chor
outfielders,out-field-ers
numeral,nu-mer-al
consular,con-su-lar
regularize,reg-u-lar-ize
sightsaw,sight-saw
merrygorounds,mer-ry--go--rounds
coypus,coy-pus
zlotys,zlo-tys
brainwashed,brain-washed
affiliates,af-fil-i-ates
quagmires,quag-mires
chine,chine
perfunctorily,per-func-to-ri-ly
repotting,re-pot-ting
affiliated,af-fil-i-at-ed
brainwashes,brain-wash-es
yugoslavians,yu-go-sla-vi-ans
blowpipes,blow-pipes
controversy,con-tro-ver-sy
circumferences,cir-cum-fer-enc-es
groover,groov-er
neurologist,neu-rol-o-gist
tootling,too-tling
federations,fed-er-a-tions
millimetres,mil-li-me-tres
teacloth,tea--cloth
outraging,out-rag-ing
flurrying,flur-ry-ing
breezeblocks,breeze-blocks
nightwork,night-work
sternest,stern-est
catchy,catch-y
outwit,out-wit
heroically,he-ro-i-cal-ly
caned,caned
hearteningly,heart-en-ing-ly
spaying,spay-ing
skewness,skew-ness
borstal,bor-stal
whistlestops,whis-tle--stops
ratatat,rat--a--tat
disencumbers,dis-en-cum-bers
mesmerize,mes-mer-ize
crossbar,cross-bar
rearrangements,re-ar-range-ments
horseandbuggy,horse--and--bug-gy
exuberantly,ex-u-ber-ant-ly
expeditionary,ex-pe-di-tion-ar-y
alcoholically,al-co-hol-i-cal-ly
selfabuse,self--a-buse
tradeins,trade--ins
adventist,ad-vent-ist
equilateral,e-qui-lat-er-al
morally,mor-al-ly
nailfile,nail--file
ocarinas,oc-a-ri-nas
wineskin,wine-skin
outvying,out-vy-ing
flourier,flour-i-er
expressively,ex-pres-sive-ly
cockier,cock-i-er
wank,wank
eczema,ec-ze-ma
dipswitches,dip-switch-es
sashays,sa-shays
edgeways,edge-ways
abashing,a-bash-ing
pinta,pin-ta
cookery,cook-e-ry
sugarless,sug-ar-less
shirked,shirked
clews,clews
cutback,cut-back
hoodooed,hoo-dooed
airlocks,air-locks
infracts,in-fracts
playback,play-back
lordless,lord-less
speciousness,spe-cious-ness
shirker,shirk-er
brassard,bras-sard
selfesteem,self--es-teem
pietas,pi-e-tas
goober,goo-ber
eitherors,ei-ther--ors
stingier,stin-gi-er
outfight,out-fight
wristlet,wrist-let
cerebrally,cer-e-bral-ly
sentencing,sen-tenc-ing
foredooming,fore-doom-ing
assimilates,as-sim-i-lates
jeroboams,jer-o-bo-ams
romped,romped
subplots,sub-plots
deodar,de-o-dar
torts,torts
misgives,mis-gives
rentrebate,rent--re-bate
footraces,foot-rac-es
potmen,pot--men
disengaging,dis-en-gag-ing
advertences,ad-vert-enc-es
aromatically,ar-o-mat-i-cal-ly
whizzing,whiz-zing
partnered,part-nered
sidekicks,side-kicks
backings,back-ings
fullblooded,full--blood-ed
physiognomies,phys-i-og-no-mies
activating,ac-ti-vat-ing
unsaddled,un-sad-dled
rehouses,re-hous-es
lovephiltre,love--phil-tre
incapacitates,in-ca-pac-i-tates
wiretapping,wire--tap-ping
raggedness,rag-ged-ness
gridiron,grid-i-ron
conterminous,con-ter-mi-nous
consciencesmitten,con-science--smit-ten
fib,fib
rehoused,re-housed
stilettos,sti-let-tos
truants,tru-ants
influentially,in-flu-en-tial-ly
paterfamilias,pa-ter-fa-mil-i-as
curatorships,cu-ra-tor-ships
riggers,rig-gers
twits,twits
memorialize,me-mo-ri-al-ize
confute,con-fute
driblets,drib-lets
broiler,broil-er
castigating,cas-ti-gat-ing
troublous,trou-blous
wettings,wet-tings
unsaddles,un-sad-dles
disconnection,dis-con-nec-tion
promenaders,prom-e-nad-ers
testdrives,test--drives
canoeist,ca-noe-ist
sandbars,sand-bars
costars,co--stars
testdriven,test--driv-en
absolves,ab-solves
tittletattled,tit-tle--tat-tled
ideograph,id-e-o-graph
antiheroes,an-ti-he-roes
collocates,col-lo-cates
gradation,gra-da-tion
combinatorial,com-bi-na-to-ri-al
adapt,a-dapt
tittletattles,tit-tle--tat-tles
dinginess,din-gi-ness
collocated,col-lo-cat-ed
fetishists,fet-ish-ists
misrepresentations,mis-rep-re-sen-ta-tions
nightdress,night-dress
abbots,ab-bots
expressiveness,ex-pres-sive-ness
corrects,cor-rects
competes,com-petes
pearloysters,pearl--oys-ters
criminologists,crim-i-nol-o-gists
commissaries,com-mis-sar-ies
transliterating,trans-lit-er-at-ing
connive,con-nive
tuckerbag,tuck-er-bag
receipted,re-ceipt-ed
competed,com-pet-ed
portmanteau,port-man-teau
ineffectively,in-ef-fec-tive-ly
loudness,loud-ness
miaou,mi-aou
behaviourist,be-hav-iour-ist
stonecold,stone--cold
obbligatos,ob-bli-ga-tos
humanitarians,hu-man-i-tar-i-ans
choosiest,choos-i-est
maladies,mal-a-dies
stylistics,sty-lis-tics
weatherbound,weath-er--bound
trochaic,tro-cha-ic
behaviourism,be-hav-iour-ism
obeisant,o-bei-sant
renovated,ren-o-vat-ed
dissuasion,dis-sua-sion
cranially,cra-ni-al-ly
renovates,ren-o-vates
rowingboats,row-ing--boats
fuzziness,fuzz-i-ness
walkaway,walk-a-way
parterres,par-terres
punning,pun-ning
exulted,ex-ult-ed
dismembers,dis-mem-bers
electricly,e-lec-tric-ly
fatherlands,fa-ther-lands
burglaralarms,bur-glar--a-larms
enthrals,en-thrals
heftiest,heft-i-est
derisorily,de-ri-so-ri-ly
contraindicating,con-tra-in-di-cat-ing
roomfuls,room-fuls
regulator,reg-u-la-tor
followtheleader,fol-low--the--lead-er
moneyless,mon-ey-less
cloudcapped,cloud--capped
mitres,mi-tres
sickparade,sick--pa-rade
assertiveness,as-ser-tive-ness
racecourses,race-cours-es
herbalists,herb-al-ists
miscellanea,mis-cel-la-ne-a
pliocene,pli-o-cene
kennelling,ken-nel-ling
brawny,brawn-y
increment,in-cre-ment
labradors,lab-ra-dors
evangels,e-van-gels
sitin,sit--in
charily,char-i-ly
relaxations,re-lax-a-tions
racers,rac-ers
boxingmatches,box-ing--match-es
moralizers,mor-al-iz-ers
unpersons,un-per-sons
officebearers,of-fice--bear-ers
greenback,green-back
shipments,ship-ments
pixilated,pix-i-lat-ed
checkerboards,check-er-boards
frothiest,froth-i-est
cinematic,cin-e-mat-ic
encomium,en-co-mi-um
disjointed,dis-joint-ed
temptresses,temp-tress-es
goddaughters,god-daugh-ters
visualizations,vis-u-al-i-za-tions
resonated,res-o-nat-ed
peasoups,pea--soups
heartrendingly,heart-rend-ing-ly
singes,sing-es
purges,purg-es
vertices,ver-ti-ces
tecs,tecs
multiracial,mul-ti-ra-cial
affirmatives,af-firm-a-tives
brazenfaced,bra-zen--faced
homophone,hom-o-phone
braising,brais-ing
caging,cag-ing
loitered,loi-tered
haggises,hag-gis-es
incorruptibility,in-cor-rupt-i-bil-i-ty
cheaply,cheap-ly
turgidity,tur-gid-i-ty
prefatory,pref-a-to-ry
firewatcher,fire-watch-er
highpressures,high--pres-sures
bullshitted,bull-shit-ted
excavator,ex-ca-va-tor
bonuses,bo-nus-es
sugardaddy,sug-ar--dad-dy
midshipmen,mid-ship-men
highpressured,high--pres-sured
bruneian,bru-nei-an
cruetstand,cru-et--stand
photoelectric,pho-to-e-lec-tric
embrocating,em-bro-cat-ing
pugdogs,pug--dogs
saltlicks,salt-licks
shortestrange,short-est--range
seminarists,sem-i-nar-ists
highprincipled,high--prin-ci-pled
fishingrods,fish-ing--rods
straggliest,strag-gli-est
stoically,sto-i-cal-ly
rectal,rec-tal
boarder,board-er
accordance,ac-cord-ance
tubful,tub-ful
precluding,pre-clud-ing
waterbottle,wa-ter--bot-tle
milkchurn,milk--churn
verboseness,ver-bose-ness
coopts,co--opts
nominatives,nom-i-na-tives
edgiest,edg-i-est
tailwind,tail-wind
advisedly,ad-vis-ed-ly
terminologically,ter-mi-no-log-i-cal-ly
shopwindows,shop-win-dows
snakecharmer,snake--charm-er
drover,dro-ver
timesheets,time--sheets
conductive,con-duc-tive
imprimatur,im-pri-ma-tur
barograph,bar-o-graph
unobtrusiveness,un-ob-tru-sive-ness
epically,ep-i-cal-ly
requisites,req-ui-sites
tipoffs,tip--offs
quadruplicate,quad-ru-pli-cate
pharisee,phar-i-see
meridional,me-rid-i-o-nal
southeasters,south-east-ers
hightension,high--ten-sion
moocow,moo-cow
voyeuristic,vo-yeur-is-tic
deescalating,de--es-ca-lat-ing
ravenously,rav-en-ous-ly
guillotining,guil-lo-tin-ing
southeastern,south-east-ern
fearlessly,fear-less-ly
fireplugs,fire--plugs
foreclosing,fore-clos-ing
blonds,blonds
meaningfulness,mean-ing-ful-ness
wearying,wea-ry-ing
charnel,char-nel
