-+-+-+-+-+	+-++--++-+	++-+-+-+-+	-+-+-+++-+	+-++-+-+-+	-+-+-+-+-+	-+-+-++--+	-+-+-+-+-+	-+-+-+-+-+	-+-+-+-+-+	+-++-+-+-+	-+-+-+-+-+	-+-+-+-+-+	-+++-+-+-+,metrical
+-+-+-+	+-++	+-+-+	+-+-+	--+-+--+	-+-+	-+-+-	-+-++	-+--+-+-	--+--+--+-+,nonmetrical
-+-+-+-+-+	-+-+-+-+-+	-+-+-+-+--+	-+-+---+-+	+--+-+++-+	-+-+---+++	+-+--+-+-+	-+--++-+++	+--+-+-+-+	-+-+-+-+-+	-+++-+---+	-+-+++-+-+	++-+--+-+-+	-+-+-+-+-+,metrical
-+-+--+	-+-+-+-	+--+-+	-+--+-+	++-+-+-	+--++-+	+-+--+-+	-+-+-+	+-+-+-+-	-+-+-+	+-+-+-+	+--+-+	++-+--+	-++-+-+	+-++-+	-+--+-+	--+-+--+	-+++-+	+--+-+	+-+-+-+	-+-+-+	-+-+-+	+-+-+-+-	+--+-+	-+-+-+	-+--+-+	-+--+-+-	-+-+-+	-+-+-+	--+-+-+	-+-+-+	-+-++-+	-+++-+	+-+-+-+	-+-+--+	-+-+-+	-++-+-+	-+-+--+	-+++-+	-+-+-+	--++-+	-+--+-+	++-+-+	+--+-+	+-+-+-+	+--+-+	+-+-+-+	-+-+--+	+--+-+	+--+-+	+--+-+	-+-+-+-	+-+--+	-+--+-+-	-+--+-+,metrical
-+-+-+-++	+--++-+-+	+--+--+-+	--+-+-+-+-	-+-++-+-+-	-+-+--+-+	-+-+-+-+-+	-+-+-+-+-	-+-+--++-+	-+-+-+-+-+	--+-+-+-+-+	--++-+-+-+	--++-+-+-+	-+-+---+-+,metrical
+	++-+-+	--+--++--++-	-+-+++	-+	-+-+-++	+-+-+---+	+-+-+-+	+--+	-+--++---+-+-+	-+-+--+	+	-+-++	--+-+-+-+---+-+	-+--+-+-+-+	-+-+-+-+-	+-+--++-+-+-	-+-+	+-+--++	+--+-+-+-+	+-+-+-+	+	-+-+-++--+-++	+	+--+-	++-+-	-+-+--+-+-+-++-	+-+	+-+-+-+-+-+-+	-+-++-+-+-+	+-++-+-	-+-+--+	+--+-+--+-+-+-+	++-+-+	+	++-+-+-+	-+--+-+-+-++	+-+-	--+-++-+-++-	+-+-+	+	-++-+-+-+	-+-+-+---+--+	+-+	++-+--+-	+-+-+-+	-+---+-+-+--+-	-+-+---+-+-+	+-+-+-+	-+--+++-+-+	+-+-+-	+	+---+-++	-++-+++-	--+--++-+-+-++	+--+-+-++--+--+-	-+	+-+	+-+-+-	-+-	-+-+--+-+	+-+--+-+--+-+	-+---+-+-+--+-	-+--+--+-,nonmetrical
+-+-+-+	+-+-+-	+---+-+-	+-+-+-	-+-+	-+-+-+	-+-+-+-+	-+-+	-+-+	+--+	-+-+-+	-+-++	+-+-+	+--+	+--+	-+-+-+-	-+--+	-+-+++-+-+,nonmetrical
-++--++-+	-+	--++-+--+	-+-	+-+--+-+	+-+-+-+-+-++	--+-++-+	+	-+-++-	-+--+-+	+-+-++-+-	-+-+--++-+-+	+-++-	+-+-+---++-	+--+++-+--+	-+-+-+-++	++--+--+-	++-+-+-+-+-	+-+-++	+--+-+-+-+-+	-+	+--+-+-+,nonmetrical
+--+-+-+	++-+-+	--+-++-+	-+-+-+	+-+-+-	++-+-+	-+-+-+-+,nonmetrical
-+--+--+-+	+-+-+-+-+	+-+-+-+-+	-+-+-+-+	-+--++--+-	-+--+--+-+	--+++--+	+-+-+-+-+	+-+-+-+-+	-++++--++	-+-++-+-+	-+-+-+-+-+	+-++-+-+	+--+-+-+	+-+-+-+-+	+-++-+-+	-+--+-+-+	+-+-+-+-+	+-----+--+-+,metrical
-++-++-++-	-++-+-+-+--+	-+--+--+-+-+	+-+-+--+-+--+--+	++--+-++-+--+-	-+---++++-+-+-+	-+-+-+--+-+-+	+--+-+-+-+-+-+	-+-+-++-+--+--+-	-+-++-+-+---+-	+-+-++--+-+-+	-+-+-+-+--+-+	-+-+---+-+-+---+-	-+--++--+-+-+	-+--+-+-+--+-+-	-+--++---+-+-+--+	+--+-+-+-+-+	-+-+-+--+-+--	++	+++	+-	-+	+	++	-+	+	+-+-	-+-+	+-+	+-	-+	-+-++	+-+	+-+	+---+	-++-+	--+-	+-+-	++-+	+-+	+	+-+--+---+--+-+-	-+--+-+--+--++	+---+-+-+--+---	+-+-+--+-+-+	-+--+-++--+-+	---++-+-+-+--+-+-	+--+-+-+--+-+	-+--+-+--+-+--+	-+--++--+-+--+--	+----+-++-+-+-+	-+-+--+--+-+-+-+	-+-+-+-+-+-+-	+-+-+-+-+-+-+	+--+-++---+-	-+-+	+++	++	+-++	+	+-+	+-+-++	+--++	-+-	+-+-+	+-+-+	+--+-+	++--+	-+-+-+-	+-+--+	-+-+-+	-+-+-	+-+-	++,nonmetrical
-++-+-++-+	-+++-+--+-	+-+-+---+-+-++	-+-+--+-+-+	-+-++-+-++-+-	--+-++-+-+--+-+	+--+-++--++	--++-+-+--+	+--+-+-+	++-+--++-+-+	+---+-+--+-+---+	+-+-+-+-+	--+-++++-	+-+--++-+---+-	-+-+-++--+-+	+--+-+-+-+---+	-+-+-+-+-+---+-	+-++-+-+	+--+-++-+-++-	-+--+-+-+-	--+-+++--+-+	-+--+++-++	++---++-+-	-+-+-+--+-+-	+-+-+-+-	-++---+-+-+-+	-++-++-+--+	+--+-+-+++,nonmetrical
+++--+-+-+	+--+-+-+-+	-+-+-+-+-+	-+-+++--++	-+-+-++-++	+-+-++-+-+	-+-+-+-+--+	+--++--+-+	++-+-+-+-+	-+-+-+--+-+	-+-+-+-+-+	-+---+-+-+	--++-+-+-+	+--+-+++-+	-+--+++---+	+--+-+-+++	-+-+-+-+-	-+-+-+-+-+	-+-+-+-+-+	+--+-+-+-+	-+-+-+-+-+	-+-+-+-+-+	+--+++-+-+	-+-+-+-+-+	+--+-+-++-+	+-++---+-+	-+-+-+-+-+	+-+++---+-+	-+-+-+-+-+	-+-+-+-+-+	+--+-+-+-+	-+---+-+-+	-+-+-+---+	-+--+-++--+	-+++-+-+-+	--+-+-+-+-+	-+-+++-+-+	+--+-+-+-+	--+-+-+-+-+	++-+-+-+--+	-+-+--++-+	-+-+++-+-+	+--+-+-+-+	+--+----+-+	+--+++-+-+	-+-+-++--+	++++-+-+-+	-+-+-+-+-+	-+-+-+++-+	-+-+-+--++	-+++-++--+	-+-+++-+-+	-+-+-+-+-+	-+-+-+-+-+	-+-+-++--+	-+-+-+-+-+	-+-+-+-+-+	-+-+-+-+-+	-+-+-+-+-+	-+-+-+-+-+	-+-+-+---+	+--+-+--+--	+--+++---+	+--+++-+-+	+--+-+-+-+	-+-+-+-+-+	-+-+-+-+-+	++-+-++--+	-+-+-+-+-+	-+-+-+-+-+	+-+--+--+-+	++-+-+-+-+	++---++-+-+	-+-+-+-+-+	++-+-+-+-+	-+-+-++--+	-+-+++-+-+	-+-+-+-+-+	-+++-+-+--+	-+-+-+-+-+	+-+--+-+-+	+--+-+-+-+	-+++-+-+-+	+-+-++-+-+	--++-+++-+	-+-+-+-+-+	-+-+-+-+-+	-+-+-+-+-+	+-+-++-+-+	+--+-+-+-+	-+-+-+-+-+	-+-+-+++-+	-+-+-++-+-+	-+-+-+-+-+	+--+-+-+-+	+--+-+-+-+	+--+-+-+-+	+-++-+-+-+	-+-+-+-+-+	-+-+-+-+-+	-++--+---+	++-+-+-+-+	+--+-+-+-+	+-++--++-+	-+-+++-+-+	+-++-+-+-+	-+-+-+-+-+	+-+-++-+-+	++-+--+-+--+	+--+-+-+-+	-+-+-+-+-+	-+-+++---++	--+-+-+++-+	-+-+-+-+-+	-+-+-+-+-+	-+++-+-+-+	+--+-+-+-+	-+-+-+-+--+	+--+-+-+-+	+--+-+-+-+	+--+-++-+-+	-+++-+--+-+	-+-+-+-+-+	-+-+-+-+-+	--++---+-+-	-+-+-+-+-+	--++++-+-+	-+-+-+-+-+	-++-+-+-+	-+--+--+-+	+-++-+-+-+-	+--+-+-+-+	+--+-+-+-+	++-+-+-+-+	-+-+-++--+	--+-+----+	-+-+---+-+	-+-+-+-+-+	-+-++-++-+	--+++--+-+	-+-+-+-+-+	-+-+---+-+	-+-+-+-+--	+-+--+-+-+	-+-+-+-+-+	++-+-+-+-+	+--+-+-+-+-	-++-+--+-+	-+-+-+-+-+	-+-+-+-+-+	+--+-++--+	++-+-+++-+	+-+-+-+--+	-+-+-+-+-+	+--+-+-+-+	-++--+-+--	-+-++--+-+	-++-+-+-+--+	++-+-+-+-+	-+-+-+-+-+	+--+--++++	-+-+-+-+-+	+--+-+--++	+--+--++-+	-+-+--++-+	--+--+-+-+-+	-+-+-+-+-+	++-+-+-+-+	+--+-+-+-+	-+-+-+-+++	-+-+-+-+-+	-+-+-+-+-+	-+-+-+-+-+	+-+--+++-+	-+-+-+-+-+	-+-+-+++-+	+-+-++-+-+	-+-+-+-+-+	++-+-+-+-+	+-+-+--+-+	+-+-+-+-+-+	+--+-++--+	---+-+-+-+	++++-+-+-+	+--+-+-+-+	-+-+-+-+-+	-++--+-+-+	+--+-+-+--+	-+-+-+++-+	-+-+-+-+-+	-+-+-+-+-+	-+-++-+-+-+	-+-+-+-+-+	-+-+++-+-+	-+-+-+-+-+	-+-+--++-+	-+--+-+-+-+	++-+--+-+++	+-++-+-+-+	+--+--+-+-+	++-+-+-+-+	+--+-+-+-+	-+-+-+-+-+	+--+-+-+-+	+--+-+-+-+	-+-+-+-+-+	+----+++-+	+--+---+-+	+--+-+--++	-+-++-+-+-+	+-++++---+	-+-+-+-+--+	-+-+-+-+-+	+-+-+-+-+-+	-+-+-+-+-+	+--+-+-+-+	-+-+-+-+-+	+--+-+-+-+	++-+-+-+--+	-+-+-+-+-+	+--+-+-+-+	+-+-+---++-+-+++	-+-+-+-+-+	-+-+-+-+-+	+--+-+--+-+	-+--+-+-+-+	-+-+-+-+-+	-+-+++-+-+	+-+-+-+-+-+	++---+-+-+	-+-+-+-+-+	-+-+-+-+-+	-+-+-+---+	-+--++-++-+	+--+-+-+--+	-+-+-+-+-+	-+---+++-+	--+-+--+-+	-+-++-+-+-+	+---+--++-+	+-+-++--+-+	-+-+-+-+-+	-+--++-+-+	-+-+-++-++	-+-+-+-+-+	-+-+-+--+-+	-++-+-++-+	-+-+-+-+-+	-+-+-+-+-+	+----+-+-+	-+-+-+-+-+	-++-+--+-+	-+-+-+-+-+	+--+-+-+-+	+-++-+-+-+	+--++--+-+	-+-+++-+-+	+-++-+-+-+	+--+--+-+-+	+-++-+-+-+	-+-+-+-+-+	+--+-+-+-+	---+--+-+-+	+-+-++-+-+	-+--++-+--	-+-+-+--++	+--+-+-+-+	-+-+-+++-+	+-++-+-+-+	+-+-+-+-+-+	+--+-+-+-+	-+-+++-+-+	-+-+-+-+-+	-+-++--+-+	+-+--+-+-+	++-+-+-+-+	-+-+-+-+++	-+-+-+--++	+---+--+-+	-+-+-+-+-+	--++-+--+-+	-+-+-+-+--+	-+--++-+-+	-+-+-+-+-+	+-++-+-+-+	++-+---+-+	--++-+-+-+	+--+-+++--+	-+-+-+-+-+	-+++-+-+-+	-+-+-+-+-+	-+-+-+-+-+	+--+-+-+-+	-+-+-+-+-+	++-+-+-+--+,metrical
-+-+---+-	-+--+-+	-+-+--+-+	+-+--+-+-+	+-++-+--+	--+--++-+-	--+-+-+-+	+-+--++-+-	--++-+--+	+++-+-+-+	+-+-+--+	+-+-+--+	--+--+-+-+	--+--+--+	+-+--+--+	-+--+-++	-+-+-+--+	-+-+++-+	--+--+--+	++-+-+--+-	--+-+-+-+	-+--++---+	--++-+-+-+	-+++-+--+	-+-++--+	-+-+-++-+-	-+--+-++	--+-+-++-+-	+-++-+--+	-+--+-+-+	-+-++--+	+-+-++--+	--+-++-+-+	-+-+-+-+	+-+-+-+-+-	-+--++-+	+-+-+-+-+-	-+--+--+	--+-++-+-+	-+-+-+-+	-+-+--+-+	--+--+-++-	-+---+-+	--++-+-+-+	-+--+--+	--+-+--+	++--+-+-+	-+--+-++	+-+-+-+-+	-+-+-+-+	-+--+--+-	+-+-+-++	-+--+-++	-+-+-+-+-	+-+-+-++	-+--++-+-	++-+--+	-+--++-+-	++-+--+	+-+-+-+--+	+-+-+-+--+-	-+-+-+--+	+-+-+-+-+	-+--+--+-	-+-+++-+	+-+-+-+--+	+-+--+--+-	-++--+--+	-+--+--+-	-+--+-++	+-+-+-+---+	+-+-+-+-++	-+-+-+-+	+-+-+--+	-++--+--+-	-++--+--+	+-+--++-+	--+--+-++-	--+-+-+-+	+-+-+-+-+	+-+--++-+	+-+-+---+-	--+-++-+	--+-+--+-+	-+++-+-+-+	-++-+-++	--+-+-+-++	--+-++-++	+-+-++--+	++-+-+--+	+-+-+-+-+-	-+-+-+-+	+-+-+-+-+-	--++-+--+	+-++-+-+	+-+-+--+	-+-+-+--+	-++-+-+-+	-+-+-+-++	--+-++--++	-+--+-+-+-	--+-+-+-+	-+-+++-+-	--+--+-+-+,metrical
