Are Beau  ties there  as proud  as here  they  be?,-+-+-+-+-+
"Bear his  mild yoke,  they serve  him best.  His  state",+-+++--+-+
"Blow, winds,  and crack  your cheeks.  Rage, blow.",++-+-+++
It sinks;  and I  am read  y to  de  part.,-+-+-+-+-+
And I  have asked  to  be,-+-+-+
"A wake  for ev  er in  a sweet  un  rest,",-+-+---+++
And the  mome raths  out  grabe.,--++-+
"That on  the ash  es of  his youth  doth  lie,",-+-+-+-+-+
Than the two  hearts beat  ing each  to  each!,--+++-+-+
"He watch  es from  his moun  tain  walls,",-+-+-+-+
"To feel  for ev  er its  soft fall  and  swell,",-+-+--++-+
"So rest  ed he  by the Tum  tum  tree,",-+-+--+-+
In Xan  a du  did Ku  bla  Khan,-+-+-+-+
"To sounds  con fused;  be hold  the thread  en sails,",-+-+-+-+-+
And this  is why  I so  journ  here,-+-+-+-+
Of beau  ty from  the light  re ti  red;,-+-+-+-+-
And wears  the turn  ing  globe.,-+-+-+
"But it  must nev  er, nev  er come  in  sight;",-+-+-+-+-+
I shun  the love  that lurks  in all  de  light--,-+-+-+-+-+
Who was  so foo  lish as  to think  what he thought.,--++-+-+-+-
What  dread hand?  and what  dread  feet?,+++-+++
"Then reached  the cav  erns meas  ure less  to  man,",-+-+-+-+-+
"Whilst, burn  ing through  the in  most veil  of Heav  en,",-+-+-+-+-+-
"Men, wo  men, on  their sod  den fac  es,  hurled",++---+-+-+
With in  the Son  net's scan  ty plot  of  ground;,-+-+-+-+-+
Down to  a sun  less  sea.,+--+-+
"Borne with  the in vis  i ble  and creep  ing wind,",+---+-+-+-+
"Toil  and grow  rich,",+--+
"To me  that feele  the like,  thy state  de  scries.",-+-+-+-+-+
"And blue  spurt of  a light  ed  match,",-++--+-+
And crown  with love  my e  ver- dur  ing  night.,-+-+-+-+-+
And like  a laugh  ing  string,-+-+-+
"I dare  not move  my dim  eyes a  ny  way,",-+++-+++-+
That all  the world  will be  in love  with night,-+-+-+-+-+
In to  its nar row  shed.,+--+-+
"I see  a lil  y on  thy  brow,",-+-+-+-+
And out  of the swing  of the  sea.,-+--+--+
Down from  the cause  way heav  i ly to  the swamp,+--+-+--+-+
With ease--  and You-- be  side--,-+-+-+
Say ing that  now you are  not as you   were,+--+--+--+
In roar  ing he  shall rise  and on  the sur  face  die.,-+-+-+-+-+-+
A small  bird flew  be fore  me.  He  was care ful,-+++-+---+-
Three fields  to cross  till a farm  ap  pears;,++-+--+-+
"Nor chang'd  his course,  but through  the shag  gy hill",-+-+-+-+-+
"But let  all lov  ers, rich  in tri  umph,  come",-+++-+-+-+
