And there repose. A turn or two I'll walk,-+-+-+-+-+
"She dwelt a mong the untrodden ways,",-+-+--+-+
"And sleep, and wake, yet never break the chain?",-+-+-+-+-+
I            can re member             when he was a pup.,+--+--+--+
She seemed a thing that could not feel,-+-+-+-+
Played for a pair of stainless maidenhoods.,+--+-+-+-+
In a vision once I saw:,--+-+-+
"Let not my hearse be vexed with mourning friends,",-+-+-+-+-+
"Out naked on the roads, as the books say, and stricken",++---+--++-+-
"Enwrought with golden and silver light,",-+-+--+-+
By woman wailing for her demon-lover!,-+-+-+-+-+-
What was it it whispered? I knew not well myself;,-+--+--+-+-+
And post o'er land and ocean without rest:,-+-+-+--++
What the anvil? what dread grasp,+-+-+++
"It gathers to a greatness, like the ooze of oil",-+---+-+-+-+
"The squirrel's granary is full,",-+-+-+-+
"Or free his feet, that in the myre sticke fast?",-+-+-+-+++
Huge sponges ofmillennial growth and height;,++---+--+-+
"Then battle for freedom wherever you can,",-+--+--+--+
And not blush so to be admired.,-+++-+-+-
"Then once by man and angels to be seen,",++-+-+---+
"In truth the prison, unto which we doom",-+-+-+-+-+
And pay no worship to the garish sun.,-+++---+-+
That are so wondrous sweet and fair!,--++-+-+
"Extremes to touch, and mean one thing.",-+-+-+++
Alone and palely loitering?,-+-+-+-+
Not in lone splendour hung aloft the night,+-++-+-+-+
And the pile somewhat sunken. Clematis,--++-+-+-+
"Men, women, on their sodden faces, hurled",++---+-+-+
"All mimsy were the borogoves,",++-+-+-+
That Benediction which the eclipsing curse,-+-+-+--+-+
"That bellies and drags in the wind,",-+--+--+
"I all alone beweep my outcast state,",-+-+-+-+-+
"Walk upon the winds with lightness,",+-+-+-+-
Ever to come up with Dactyl trisyllable.,+--+--+--+--
It flung up momently the sacred river.,-+++---+-+-
"Our revels now are ended. These our actors,",-+-+-+-+-+-
Consuming the last clouds of cold mortality.,-+--++-+-+-+
"Where springs not fail,",-+++
"Where can we find two better hemispheres,",+--+++-+-+
An elder said as we sat in a flock,-+-+--+--+
"Through wood and dale the sacred river ran,",-+-+-+-+-+
"High as the highest peak of Furness fells,",+--+-+-+-+
"""I love thee true.""",-+-+
And that one talent which is death to hide,-+++---+-+
For thou wilt lie upon the wings of night,-+-+-+-+-+
Are with me from the past;,-+-+-+
"Gallop apace, you fiery-footed steeds,",+--+-+--+-+
"'Twas so; but this, all pleasures fancies be.",-+-+++-+-+
"Repair me now, for now mine end doth haste;",-+-+-+-+-+
"Far, far beneath in the abysmal sea,",++-+---+-+
"Of waters,--with a sound but half its own,",-+-+-+-+-+
"Has woven a winter robe,",-+--+-+
Tyger! tyger! burning bright,+-+-+-+
"That we sit sometimes in the wayside nook,",--+-+--+-+
"I set her on my pacing steed,",-+-+-+-+
"Do they above love to be lov'd, and yet",-+-+-+-+-+
Into something rich and strange.,+-+-+-+
Lamp of Earth! where'er thou movest,+-+-+-+-
"Fair are others; none beholds thee,",+-+-+-+-
"I reade it in thy lookes, thy languisht grace,",-+-+-+-+-+
Trochee trips from long to short.,+-+-+-+
Thy glory by Thy side.,-+-+-+
"By their own beauties; or, if love be blind,",--++-+-+-+
"From the sight, that liquid splendour,",+-+-+-+-
And is always as nobly requited;,--+--+--+-
Then must we sleep one ever-during night.,+--+++-+-+
And his dark secret love,--++-+
"She laughs at them for childishness,",-+-+-+-+
At earliest morning to the door.,-+--+-+-+
"I strove with none, for none was worth my strife:",-+-+-+-+-+
"And wrinkled lip, and sneer of cold command,",-+-+-+-+-+
And drunk the milk of Paradise.,-+-+-+-+
"Where the Youth pined away with desire,",--+--+--+-
"To serve therewith my Maker, and present",-+-+-+-+-+
"And every fair from fair sometimes declines,",-+-+-++--+
The one the other will absorb--,-+-+-+-+
Those are pearls that were his eyes:,+-+-+-+
That all the world will be in love with night,-+-+-+-+-+
"I, like an usurped town, to another due,",+---++--+-+
The wrinkled sea beneath him crawls;,-+-+-+-+
"Half sunk, a shattered visage lies, whose frown,",++-+-+-+-+
"The frumious Bandersnatch!""",-+--+-+
"I met a lady in the meads,",-+-+-+-+
