oaks',oaks'
unlooked,un-looked
bheo,bhe-o
showthat,show-that
melusine,me-lu-sine
fistful,fist-ful
fotch,fotch
endlucidities,en-dlu-cid-i-ties
ence,ence
manikins,man-i-kins
vogelsang,vo-gel-sang
meted,met-ed
firefirm,fire-firm
ductors,duc-tors
superadded,su-per-ad-ded
spillage,spil-lage
tulgey,tul-gey
terence,ter-ence
openthen,o-pen-th-en
hermit's,her-mit's
redbud,red-bud
quartzite,quar-tzite
scillas,scil-las
momentaquas,mo-men-ta-quas
kamyar,kam-y-ar
rain'd,rain'd
anyonewhen,an-y-on-ewhen
seneca,sen-e-ca
brzozowski,brzo-zow-ski
zenbos,zen-bos
traine,traine
enjoy'st,en-joy-'st
magdalene,mag-da-lene
viewings,view-ings
horsekeeper,horse-keep-er
wallthe,wall-the
woodstove,wood-stove
valor,va-lor
goi,goi
attent,at-tent
brandt,brandt
munchs,munchs
hindoostan,hin-doo-stan
ausonias,au-so-ni-as
hubbard,hub-bard
unpressing,un-press-ing
species',spe-ci-es'
antanina,an-ta-ni-na
analog,an-a-log
bedpavementthe,bed-pave-mentthe
livd,livd
negrito,ne-gri-to
uncracked,un-cracked
millihelen,mil-lihe-len
kins,kins
amsterdam,am-ster-dam
categorizers,cat-e-go-riz-ers
variola,var-i-o-la
pretely,prete-ly
leathern,leath-ern
kemetic,ke-met-ic
loudnot,loud-not
caltrops,cal-trops
erstwhile,erstwhile
boxshes,box-sh-es
infiniteyet,in-fin-i-te-yet
pyramidal,pyr-a-mi-dal
stoppedjust,stop-ped-just
ross,ross
sandgrass,sand-grass
karner,kar-ner
einen,ei-nen
mer,mer
poste,poste
caravaggio,car-a-vag-gi-o
maximo,max-i-mo
caliban,cal-i-ban
rossz,rossz
grapheme,gra-ph-eme
foxtail,fox-tail
unseense,un-seense
counterculture,coun-ter-cul-ture
unsought,un-sought
'too,'-too
fallin',fal-lin'
gilles,gilles
willowsfields,wil-lows-fields
gillespie,gil-les-pie
foure,foure
bir,bir
renown'd,re-nown'd
viridian,vi-rid-i-an
pedder,ped-der
moana,moa-na
maryla,ma-ry-la
wows,wows
crotty,crot-ty
micrographs,mi-cro-graphs
mastah's,mas-tah's
squills,squills
hoo,hoo
sententiae,sen-ten-tiae
forgetters,for-get-ters
ramblas,ram-blas
ulsa,ul-sa
spieliologists,spie-li-ol-o-gists
heaney,hea-ney
wmore,wmore
blurryas,blur-ry-as
banquette,ban-quette
fuliginous,fu-lig-i-nous
kashmirexactly,kash-mir-ex-act-ly
llamastep,llam-as-tep
hinnom,hin-nom
thiopia,thi-o-pi-a
battell,bat-tell
peal'd,peal'd
claime,claime
moodless,mood-less
bubba,bub-ba
infinitethat,in-fi-ni-te-that
lipt,lipt
macarthur,mac-ar-thur
salvational,sal-va-tion-al
kore,kore
frontispice,fron-ti-spice
overspred,o-ver-spred
vespasian,ves-pa-sian
silverish,sil-ver-ish
azazel,a-za-zel
astroturf,as-tro-turf
possest,poss-est
powrs,powrs
gucci,guc-ci
colette,col-ette
rishis,rish-is
suddenlyi,sud-den-ly-i
leon,leon
malin,ma-lin
perejil,per-e-jil
wai,wai
winternot,win-ter-not
shan,shan
earnt,earnt
narragansetts,nar-ra-gan-setts
gluings,glu-ings
reubens,reu-bens
hurld,hurld
giangiacomo,gi-an-gi-a-co-mo
disseized,dis-seized
saska,sas-ka
shiftstiff,shift-stiff
surveyor's,sur-vey-or's
havocked,ha-vocked
sacrific'd,sac-ri-fic'd
'what's,'what's
deem'd,deem'd
ijo,i-jo
waimea,wai-me-a
thoughtbut,thought-but
mojito,mo-ji-to
jow,jow
jerusalem's,je-rus-a-lem's
enwoven,en-wo-ven
chevrolet,chev-ro-let
frenchyou,fren-chy-ou
upcast,up-cast
sleepthe,sleep-the
rudimental,ru-di-men-tal
tacos,ta-cos
bedward,bed-ward
resiststhe,re-siststhe
lovenothing,love-noth-ing
dript,dript
phosphor,phos-phor
passer,pass-er
ings,ings
araucaria,ar-au-car-i-a
laughd,laughd
camden,cam-den
herewho,here-who
helix,he-lix
dinosaurmouse,di-no-saur-mouse
crueldrunk,cruel-drunk
cebollas,ce-bol-las
fascicles,fas-ci-cles
ungrown,un-grown
radha,rad-ha
corvus,cor-vus
soldans,sol-dans
hollands,hol-lands
nailes,nailes
pursu'd,pur-su'd
worths,worths
triton,trit-on
smolders,smol-ders
donut,do-nut
thestuff,thest-uff
senilitys,se-nil-i-tys
warners,war-ners
freezeth,free-zeth
thunderhead,thun-der-head
mustnt,mustnt
wishy,wish-y
berlin,ber-lin
againstflurry,ag-ainst-flur-ry
xliii,x-lii-i
brown's,brown's
whitend,whit-end
gemlike,gem-like
holography,ho-log-ra-phy
anglerfish,an-gler-fish
hillsblack,hills-black
morethe,more-the
appeer,ap-peer
implor'd,im-plor'd
wbullets,wbul-lets
bastille,bas-tille
abdomenizer,ab-dom-en-iz-er
vapring,va-pring
critics',crit-ics'
rei,re-i
wildering,wil-der-ing
catted,cat-ted
recyclamente,re-cy-cla-mente
againfinally,a-gain-fi-nal-ly
specialin,spe-cial-in
icestorm,ice-storm
birk,birk
sundogs,sun-dogs
sessionscool,ses-sion-scool
sheened,sheened
onely,one-ly
pollens,pol-lens
arethusa's,a-re-thu-sa's
brant,brant
snapsand,snap-sand
everydayness,ev-er-y-day-ness
estuarial,es-tu-ar-i-al
friendand,frien-dand
seagram,sea-gram
mistone,mis-tone
ponary,po-na-ry
springes,spring-es
xlv,xlv
desiredhis,de-sire-dhis
amrams,am-rams
goldsteins,gold-steins
steard,steard
erelong,ere-long
pompeii,pom-pei-i
incomers,in-com-ers
yukon,yu-kon
swordfishmy,sword-fish-my
loudand,loud-and
domesday,domes-day
millirems,mil-li-rems
gauzes,gauz-es
slathery,slath-er-y
obstinacie,ob-sti-na-cie
erinnere,e-rin-nere
sefa,se-fa
interposest,in-ter-pos-est
mercie,mer-cie
bulova,bu-lo-va
acupuncturist,ac-u-punc-tur-ist
thoughten,though-ten
upwe,up-we
measurer,mea-sur-er
holyweight,hol-y-weight
kundalini,kun-da-li-ni
learnings,learn-ings
jeanne,jeanne
sweatily,sweat-i-ly
baker's,bak-er's
choisiocht,choi-si-ocht
fewmets,few-mets
atchiev'd,at-chiev'd
nation's,na-tion's
aloneless,a-lone-less
bottlecap,bot-tle-cap
reflejo,re-fle-jo
songless,song-less
imblazonrie,im-bla-zon-rie
soakt,soakt
nonexistence,non-ex-ist-ence
finalis,fi-na-lis
conformd,con-formd
goldenness,gold-en-ness
azul,a-zul
donothing,do-noth-ing
'you're,'y-ou-'re
nulled,nulled
sur,sur
unalarming,un-a-larm-ing
bassline,bass-line
ictus,ic-tus
rem,rem
app,app
mungart,mun-gart
palid,pal-id
slippings,slip-pings
snapsizzling,snap-siz-zling
chestthe,chestthe
elms',elms'
warrs,warrs
deferral,de-fer-ral
listenthe,lis-ten-the
months',months'
yousef,yousef
reemerge,ree-merge
wheresoe'er,where-so-e'-er
lamp's,lamp's
jeffers,jeff-ers
kinghood,king-hood
schoolyard,school-yard
delicatest,del-i-cat-est
frequence,fre-quence
unpeopl'd,un-peo-pl'd
scalie,sca-lie
superiour,su-pe-ri-our
missthought,mis-sthought
successionshowed,suc-ces-sion-showed
howledaylelolay,how-le-day-lel-o-lay
irene,i-rene
minutesgone,min-ut-es-gone
earlshall,earl-shall
greta,gre-ta
foetid,fo-et-id
enow,e-now
abschied,ab-schied
moreton,more-ton
bruisable,bruis-a-ble
underthings,un-der-things
overwatered,o-ver-wa-tered
offfanning,off-fan-ning
acrustic,a-crus-tic
originsor,or-i-gin-sor
commonthey,com-mon-th-ey
roachis,roa-ch-is
loosning,loosn-ing
ifthere,if-there
hydrochloric,hy-dro-ch-lo-ric
furie,fu-rie
endeavors,en-deav-ors
kostner,kost-ner
proust,proust
nounsmostly,nouns-most-ly
panchos,pan-chos
obtrud'st,ob-trud'st
bloodroot,blood-root
staglike,stag-like
indamag'd,in-da-mag'd
shiraishi,shi-ra-ish-i
rosicrucians,ros-i-cru-cians
katalina,ka-ta-li-na
gary,gar-y
lumpur,lum-pur
wiggly,wig-gly
theethat,thee-that
kong,kong
displeaseth,dis-pleas-eth
showtunes,show-tunes
vogelwiese,vo-gel-wiese
otello,o-tel-lo
abstracto,ab-strac-to
hd,hd
seest,se-est
lemme,lem-me
jai,jai
dreadless,dread-less
cyborg,cy-borg
allawaydont,al-la-way-dont
faulstich,faul-stich
gazine,ga-zine
herberts,her-berts
sorcerie,sor-cer-ie
fomo,fo-mo
hypersalivation,hy-per-sal-i-va-tion
craggie,crag-gie
'beyond,'bey-ond
memoriesbut,mem-o-ri-es-but
leadlight,lead-light
snowsoft,snow-soft
ding,ding
alcoved,al-coved
seargtha,seargth-a
headphone,head-phone
fingertaps,fin-ger-taps
heavedand,heave-dand
drie,drie
philae,phi-lae
carnegie,car-ne-gie
leucistic,leu-cis-tic
abednego,a-bed-ne-go
cesar,ce-sar
candled,can-dled
goudonovs,gou-do-novs
globed,globed
monies,mo-nies
amniotic,am-ni-ot-ic
erebus,er-e-bus
parker's,par-ker's
themwhole,themw-hole
willowware,wil-low-ware
toulali,tou-la-li
involvedno,in-vol-ved-no
villanueva,vil-la-nu-ev-a
judgments,judg-ments
suiciding,sui-cid-ing
starsdie,stars-die
wyatt,wyatt
shoops,shoops
thered,thered
chono,cho-no
triangulated,tri-an-gu-lat-ed
xvii,x-vi-i
filina,fi-li-na
scurff,scurff
taprobane,tap-ro-bane
hitherward,hith-er-ward
taco,ta-co
poring,por-ing
amnesiac,am-ne-siac
coreopsis,co-re-op-sis
bd,bd
sunroom,sun-room
malagasies,mal-a-ga-sies
ubi,u-bi
capretta,ca-pret-ta
'spareth,'s-pa-reth
chill's,chill's
gnostics,gnos-tics
towny,town-y
medicined,med-i-cined
sauk,sauk
beis,beis
kama,ka-ma
legbones,leg-bones
fiseste,fis-este
gilligan,gil-li-gan
healty,healt-y
monied,mon-ied
recrosses,re-cross-es
breytenback's,brey-ten-back-'s
frizl'd,frizl'd
accomplish'd,ac-com-plish'd
fictive,fic-tive
afric,af-ric
impatientswells,im-pa-tient-swells
dictaean,dic-tae-an
cassirer,cas-sir-er
anagogic,an-a-gog-ic
greening,green-ing
gangsta,gang-sta
heplock,hep-lock
beaulieu,beau-lieu
haveno,ha-ve-no
costsof,cost-sof
raisd,raisd
orthu,or-thu
nephewssons,nephews-sons
mybelongingsgo,my-be-lon-gings-go
churchical,church-i-cal
clabber,clab-ber
fell'd,fell'd
saviors,sav-iors
steaklette,steak-lette
barfing,barf-ing
fetus,fe-tus
headscarves,head-scarves
cameron,cam-er-on
spuming,spum-ing
thingth,thingth
shuls,shuls
colas,co-las
chatham,chat-ham
earlythat,ear-ly-that
firecide,fire-cide
webber,web-ber
faux,faux
mourn'd,mourn'd
oldness,old-ness
triceratops,tric-er-a-tops
oo,oo
entr'd,en-tr'd
chroma,chro-ma
cloudward,cloud-ward
ivanka,i-van-ka
scarffar,scarf-far
seacretly,sea-cret-ly
weimar,wei-mar
rubbly,rub-bly
boxcars,box-cars
doon,doon
traseme,tras-eme
lusteth,lus-teth
honied,hon-ied
thingsher,thing-sh-er
worldwas,worl-dwas
cadmus,cad-mus
linc,linc
strunk,strunk
aw,aw
ther,ther
toilless,toil-less
neosporin,ne-o-spo-rin
aethiopicus,ae-thi-op-i-cus
apilo,a-pi-lo
ownbut,own-but
tidelike,tide-like
usted,us-ted
montezuma,mon-te-zu-ma
orbicular,or-bic-u-lar
asmodai,as-mo-dai
archived,ar-chived
snapadh,snap-adh
kevins,ke-vins
hollah,hol-lah
baptiste,bap-tiste
bocchus,boc-chus
drawe,drawe
blush'd,blush'd
newvacuum,new-vac-uum
uerc,uerc
thrailkill,thrail-kill
metaphysician,met-a-phy-si-cian
onea,o-ne-a
shhh,shhh
eternitie,e-ter-ni-tie
quarterbacks,quar-ter-backs
lillies,lil-lies
boppin,bop-pin
montagnards,mon-tag-nards
jawlined,jaw-lined
yo,yo
libres,li-bres
compostable,com-post-a-ble
canceling,can-cel-ing
didpicking,did-pick-ing
kavanagh,kav-a-nagh
vickey,vick-ey
anxietydwells,anx-ie-tyd-wells
stil,stil
cruelty's,cru-el-ty's
clariant,clar-i-ant
plowed,plowed
dipt,dipt
strait'nd,strait'nd
tartsweetness,tart-sweet-ness
upa,up-a
dignitys,dig-ni-tys
consider'd,con-sid-er'd
admonisht,ad-mon-isht
manchineels,man-chi-neels
thea's,the-a's
fablerichesyouthnor,fab-ler-iche-sy-outh-nor
chivalrie,chi-val-rie
ashur,a-shur
soul's,soul's
bysilence,bys-i-lence
cromium,cro-mi-um
hoooooooo,hoo-ooo-oo-o
lumbring,lum-bring
bottlei,bot-tle-i
terrifi'd,ter-ri-fi'd
bristic,bris-tic
eas,eas
hounds',hounds'
glenn,glenn
demasiado,de-ma-sia-do
overreacher,o-ver-reach-er
thoughtsometimes,thought-some-times
stevie,stev-ie
prismed,prismed
apollos,a-pol-los
microvilli,mi-cro-vil-li
hawk's,hawk's
rusht,rusht
pinerot,pin-er-ot
greife,greife
linda,lin-da
issi,is-si
brrra,brr-ra
thembestow,them-bes-tow
dreadbut,dread-but
floted,flot-ed
mistress',mis-tress'
camelot,cam-e-lot
prevenient,pre-ven-ient
dusking,dusk-ing
platitudinizers,plat-i-tu-di-niz-ers
flowercunted,flow-er-cunt-ed
neueste,neu-este
comecomecome,come-com-e-come
blackpainter,black-paint-er
forzando,for-zan-do
needas,nee-das
filigrees,fil-i-grees
goffs,goffs
wat'ry,wa-t'-ry
practis'd,prac-tis'd
claudel,clau-del
pavlova,pa-vlo-va
cunningham,cun-ning-ham
drippy,drip-py
appli'd,ap-pli'd
ayers,ayers
casbeen,cas-been
galvan,gal-van
manitoba,man-i-to-ba
anythingnot,an-ything-not
kensal,ken-sal
hearseone,hear-se-one
everhow,ev-er-how
appleflocks,ap-ple-flocks
mookuauhau,mook-u-au-hau
ventriloquy,ven-tril-o-quy
wandert,wan-dert
magentas,ma-gen-tas
artemisa,ar-te-mi-sa
purposefullimitless,pur-pose-ful-lim-it-less
bumrush,bum-rush
gunstations,gun-sta-tions
discolors,dis-col-ors
worts,worts
vici,vi-ci
fluchtigen,fluch-ti-gen
shoed,shoed
marlow,mar-low
springfield,spring-field
nudeswhy,nu-des-why
muhfuckas,muh-fuck-as
ock,ock
poo,poo
whisper'd,whis-per'd
sev,sev
worrylonesome,wor-ry-lone-some
malecontent,mal-e-con-tent
japs,japs
durer,dur-er
hampstead,hamp-stead
ketty,ket-ty
seavenfold,seav-en-fold
dinne,dinne
screamer,scream-er
liu,li-u
pantops,pan-tops
lieber,lie-ber
ve,ve
riflea,ri-fle-a
comorbid,co-mor-bid
ported,port-ed
hoofed,hoofed
irans,i-rans
alonecouldnt,a-lon-e-couldnt
scudi,scu-di
legsi,leg-si
snailsdeath,snail-sdeath
deciduals,de-cid-u-als
firehouse,fire-house
wherefor,where-for
sojourn'd,so-journ'd
heav'n,heav'n
calme,calme
dora,do-ra
iliaster,il-i-as-ter
sheetrock,sheet-rock
organworks,or-gan-works
habitus,hab-i-tus
conict,co-nict
'from,'from
vertiginously,ver-tig-i-nous-ly
tremoring,trem-or-ing
spatits,spat-its
bloodline,blood-line
makst,makst
althea,al-the-a
particulate,par-tic-u-late
une,une
sombras,som-bras
andmoreis,and-mor-eis
fortythree,for-ty-three
author's,au-thor's
scummed,scummed
cile,cile
whushing,whush-ing
canelles,can-elles
